id|jcc_id|number|city|is_deleted|deleted_date
1|1|0101|Sapporo|0|
2|1|0102|Asahikawa|0|
3|1|0103|Otaru|0|
4|1|0104|Hakodate|0|
5|1|0105|Muroran|0|
6|1|0106|Kushiro|0|
7|1|0107|Obihiro|0|
8|1|0108|Kitami|0|
9|1|0109|Yubari|0|
10|1|0110|Iwamizawa|0|
11|1|0111|Abashiri|0|
12|1|0112|Rumoi|0|
13|1|0113|Tomakomai|0|
14|1|0114|Wakkanai|0|
15|1|0115|Bibai|0|
16|1|0116|Ashibetsu|0|
17|1|0117|Ebetsu|0|
18|1|0118|Akabira|0|
19|1|0119|Mombetsu|0|
20|1|0120|Shibetsu|0|
21|1|0121|Nayoro|0|
22|1|0122|Mikasa|0|
23|1|0123|Nemuro|0|
24|1|0124|Chitose|0|
25|1|0125|Takikawa|0|
26|1|0126|Sunagawa|0|
27|1|0127|Utashinai|0|
28|1|0128|Fukagawa|0|
29|1|0129|Furano|0|
30|1|0130|Noboribetsu|0|
31|1|0131|Eniwa|0|
32|1|0132|Kameda|1|1973-11-30
33|1|0133|Date|0|
34|1|0134|Kitahiroshima|0|
35|1|0135|Ishikari|0|
36|1|0136|Hokuto|0|
37|2|0201|Aomori|0|
38|2|0202|Hirosaki|0|
39|2|0203|Hachinohe|0|
40|2|0204|Kuroishi|0|
41|2|0205|Goshogawara|0|
42|2|0206|Towada|0|
43|2|0207|Misawa|0|
44|2|0208|Mutsu|0|
45|2|0209|Tsugaru|0|
46|2|0210|Hirakawa|0|
47|3|0301|Morioka|0|
48|3|0302|Kamaishi|0|
49|3|0303|Miyako|0|
50|3|0304|Ichinoseki|0|
51|3|0305|Ofunato|0|
52|3|0306|Mizusawa|1|2006-02-19
53|3|0307|Hanamaki|0|
54|3|0308|Kitakami|0|
55|3|0309|Kuji|0|
56|3|0310|Tono|0|
57|3|0311|Rikuzentakata|0|
58|3|0312|Esashi|1|
59|3|0313|Ninohe|0|
60|3|0314|Hachimantai|0|
61|3|0315|Oshu|0|
62|3|0316|Takizawa|0|
63|4|0401|Akita|0|
64|4|0402|Noshiro|0|
65|4|0403|Odate|0|
66|4|0404|Yokote|0|
67|4|0405|Honjo|1|2005-03-21
68|4|0406|Oga|0|
69|4|0407|Yuzawa|0|
70|4|0408|Omagari|1|2005-03-21
71|4|0409|Kazuno|0|
72|4|0410|Yurihonjo|0|
